Date: December 8, 2024 | Session: 20 | Platform: Red | Start Time: 9:00 AM | Weight Class: Female 87+kg C | Entry Total: 128-155 | Lifters: 12
Date: December 8, 2024 | Session: 20 | Platform: White | Start Time: 9:00 AM | Weight Class: Female 87kg & 81+kg B | Entry Total: 83-179 | Lifters: 13
Date: December 8, 2024 | Session: 20 | Platform: Blue | Start Time: 9:00 AM | Weight Class: Male 102kg B | Entry Total: 230-298 | Lifters: 13
Date: December 8, 2024 | Session: 21 | Platform: Red | Start Time: 11:00 AM | Weight Class: Female 87+kg B | Entry Total: 156-190 | Lifters: 11
Date: December 8, 2024 | Session: 21 | Platform: White | Start Time: 11:00 AM | Weight Class: Male 109kg & 102+kg B | Entry Total: 228-300 | Lifters: 11
Date: December 8, 2024 | Session: 21 | Platform: Blue | Start Time: 11:00 AM | Weight Class: Female 81kg & 76+kg A | Entry Total: 190-225 | Lifters: 11
Date: December 8, 2024 | Session: 22 | Platform: Red | Start Time: 1:00 PM | Weight Class: Male 109+kg B | Entry Total: 255-320 | Lifters: 9
Date: December 8, 2024 | Session: 22 | Platform: White | Start Time: 1:00 PM | Weight Class: Male 102kg A | Entry Total: 298-350 | Lifters: 13
Date: December 8, 2024 | Session: 22 | Platform: Blue | Start Time: 1:00 PM | Weight Class: Female 87kg & 81+kg A | Entry Total: 190-233 | Lifters: 13
Date: December 8, 2024 | Session: 23 | Platform: Red | Start Time: 3:00 PM | Weight Class: Male 109+kg A | Entry Total: 330-360 | Lifters: 8
Date: December 8, 2024 | Session: 23 | Platform: White | Start Time: 3:00 PM | Weight Class: Male 109kg & 102+kg A | Entry Total: 300-350 | Lifters: 11
Date: December 8, 2024 | Session: 23 | Platform: Blue | Start Time: 3:00 PM | Weight Class: Female 87+kg A | Entry Total: 195-220 | Lifters: 11
